OTU;plaque_1_its_B1;plaque_1_its_B10;plaque_1_its_B11;plaque_1_its_B12;plaque_1_its_B13;plaque_1_its_B14;plaque_1_its_B15;plaque_1_its_B16;plaque_1_its_B17;plaque_1_its_B18;plaque_1_its_B19;plaque_1_its_B2;plaque_1_its_B20;plaque_1_its_B21;plaque_1_its_B22;plaque_1_its_B23;plaque_1_its_B24;plaque_1_its_B25;plaque_1_its_B26;plaque_1_its_B27;plaque_1_its_B28;plaque_1_its_B29;plaque_1_its_B3;plaque_1_its_B30;plaque_1_its_B31;plaque_1_its_B32;plaque_1_its_B33;plaque_1_its_B34;plaque_1_its_B35;plaque_1_its_B36;plaque_1_its_B37;plaque_1_its_B38;plaque_1_its_B39;plaque_1_its_B4;plaque_1_its_B40;plaque_1_its_B41;plaque_1_its_B42;plaque_1_its_B43;plaque_1_its_B44;plaque_1_its_B45;plaque_1_its_B46;plaque_1_its_B47;plaque_1_its_B48;plaque_1_its_B49;plaque_1_its_B5;plaque_1_its_B50;plaque_1_its_B51;plaque_1_its_B52;plaque_1_its_B53;plaque_1_its_B54;plaque_1_its_B55;plaque_1_its_B56;plaque_1_its_B57;plaque_1_its_B58;plaque_1_its_B59;plaque_1_its_B6;plaque_1_its_B60;plaque_1_its_B61;plaque_1_its_B62;plaque_1_its_B63;plaque_1_its_B64;plaque_1_its_B65;plaque_1_its_B66;plaque_1_its_B67;plaque_1_its_B68;plaque_1_its_B69;plaque_1_its_B7;plaque_1_its_B70;plaque_1_its_B71;plaque_1_its_B72;plaque_1_its_B73;plaque_1_its_B74;plaque_1_its_B75;plaque_1_its_B76;plaque_1_its_B77;plaque_1_its_B78;plaque_1_its_B79;plaque_1_its_B8;plaque_1_its_B80;plaque_1_its_B81;plaque_1_its_B82;plaque_1_its_B83;plaque_1_its_B84;plaque_1_its_B85;plaque_1_its_B86;plaque_1_its_B87;plaque_1_its_B88;plaque_1_its_B89;plaque_1_its_B9;plaque_1_its_B90;plaque_1_its_B91;plaque_1_its_B92;plaque_1_its_B93;plaque_1_its_B94
HM131235.1;0;1;2;0;3;7;2;2;1;0;6;1;11;3;8;4;2;1;5;4;4;0;3;3;6;9;4;3;2;0;0;1;0;37;1;0;0;5;1;0;1;5;3;2;5;0;0;0;2;0;0;3;2;3;2;5;6;13;2;6;0;2;0;29;28;2;3;17;0;1;0;10;73;7;3;7;9;6;0;25;2;0;7;5;7;6;4;4;7;0;10;22;5;3
KT203298.1;1;447;62;39;23;28;86;11;7;26;1;17;24;12;11;26;48;25;23;33;117;1;1;17;89;11;2;11;50;1;6;24;2;2;3;7;11;17;10;10;5;8;8;47;5;5;35;3;4;4;23;28;1;13;2;1;11;3;19;1;0;13;37;0;3;6;9;9;0;0;8;14;1;60;10;0;4;58;3;11;1;4;15;30;14;18;7;1;117;65;29;15;12;17
MT446068.1;0;48;1;0;0;9;0;0;1;0;0;0;0;0;5;1;2;3;19;1;6;3;0;10;238;43;32;2;14;1;0;69;1;0;1;0;4;1;3;16;7;13;7;10;0;1;20;18;148;4;11;17;7;19;9;0;62;7;19;21;5;2;22;18;0;6;0;0;2;1;19;75;0;44;22;0;0;2;1;32;0;0;0;1;1;5;53;11;0;3;16;1;3;32
MN200199.1;52;48;16;1;15;22;24;25;28;23;56;60;22;48;47;43;20;61;26;29;28;33;19;3;14;22;9;222;3;34;4;12;2;7;14;16;15;57;2180;26;33;31;65;12;5;32;28;7;6;10;27;9;88;84;27;33;29;15;33;13;96;35;13;93;27;19;22;55;291;29;6;23;45;42;23;49;9;11;1;6;25;34;8;21;21;48;27;56;17;43;8;68;45;21
MZ637003.1;91;86;7;23;28;32;95;15;5;18;15;42;14;77;15;5;16;12;8;10;29;30;0;14;177;19;6;11;43;143;10;38;13;1;9;20;16;92;12;18;25;13;25;29;0;46;101;25;15;20;32;34;19;22;9;88;21;24;137;38;114;19;69;135;77;186;24;96;1;26;22;183;47;143;71;154;32;22;8;30;1;37;29;61;3;88;24;30;81;150;49;115;29;42
MZ171395.1;4;0;0;7;0;0;1;0;0;1;1;1;1;4;6;1;0;0;3;2;0;2;0;4;2;1;0;0;2;25;0;8;0;0;1;2;4;30;7;2;2;0;5;8;0;5;6;6;3;3;3;11;7;10;2;24;8;7;23;11;33;19;15;47;39;57;1;38;0;12;33;68;17;40;49;62;16;0;12;16;4;11;12;24;5;38;4;1;0;0;34;61;17;17
KJ707062.1;6;4;19;18;4;26;10;1;7;22;55;10;58;7;2;4;19;94;40;12;14;2;4;11;12;47;32;14;1;9;8;55;41;0;266;10;2;14;5;13;35;73;9;8;3;16;108;38;559;62;147;88;65;42;38;18;50;64;22;29;91;125;23;68;49;6;6;31;1;55;17;75;186;27;48;91;213;68;25;767;318;18;29;9;3;25;22;39;20;0;21;9;122;60
MH860044.1;35;128;29;0;62;73;77;35;16;15;178;54;143;57;34;11;10;150;298;62;14;3;16;9;32;74;341;89;15;24;6;13;16;66;79;52;8;17;25;17;34;206;134;10;3;31;16;21;127;353;103;29;44;78;78;45;1929;217;179;39;40;129;49;619;72;102;431;38;258;42;21;154;197;306;46;115;329;102;34;220;72;311;57;28;70;99;323;1073;328;157;113;66;46;83
KR673447.1;2;21;1;0;0;2;0;0;0;0;0;0;0;0;14;6;3;0;1;7;6;0;0;3;18;2;3;8;16;0;2;2;0;0;4;5;5;6;21;9;4;15;25;62;0;4;23;3;4;5;29;16;3;24;3;0;0;7;44;19;0;33;0;0;0;1;0;0;0;9;9;0;9;14;11;0;7;1;1;0;0;5;6;4;14;14;5;8;0;231;31;2;2;0
KF018120.1;12;0;0;0;0;6;9;0;1;0;0;0;0;1;46;2;2;0;0;0;0;0;2;2;9;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;3;0;0;0;3;0;1;1;1;1;0;1;0;3;0;0;0;0;0;12;1;0;0;3;6;0;0;0;1;0;20;2;0;0;0;0;17;21;8;51;12;0;0;21;20;35;21;31
