otu,Domain,Phylum,Class,Order,Family,Genus,Species
MW258679.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Melanoleuca,s__Melanoleuca_chifengense
DQ885385.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_destructor
MT305995.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Atheliales,f__Atheliaceae,g__Athelia,s__Athelia_bombacina
KF251526.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Septoria,s__Septoria_pseudonapelli
KP322984.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Entylomatales,f__unidentified,g__Tilletiopsis,s__Tilletiopsis_lilacina
MH366531.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_subbotrytis
JN164992.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Earliella,s__Earliella_scabrosa
MZ159516.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Callistosporiaceae,g__Callistosporium,s__Callistosporium_pinicola
MW008494.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,s__Diaporthe_monetii
MK247705.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_samarorum
MT055925.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_gracilioides
MW404794.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_pygmaea
KF251167.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_dioscoreae
JN710552.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Junghuhnia,s__Junghuhnia_collabens
GU237734.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Stagonosporopsis,s__Stagonosporopsis_actaeae
JX178634.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hysterangiales,f__Hysterangiaceae,g__Gallacea,s__Gallacea_eburnea
MN318449.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Rigidonotus,s__Rigidonotus_glomeratus
HE585021.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Morosphaeriaceae,g__Acrocalymma,s__Acrocalymma_vagum
KC584201.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_japonica
AF074922.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Chalciporus,s__Chalciporus_piperatus
MT044425.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fuscopostia,s__Fuscopostia_lateritia
EU118657.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Cremeoderma,s__Cremeoderma_unicum
KY769660.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Parastagonospora,s__Parastagonospora_forlicesenica
AF444305.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Phaeotremellaceae,g__Phaeotremella,s__Phaeotremella_skinneri
KP814161.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__unidentified,g__Neohypochnicium,s__Neohypochnicium_cremicolor
MW376557.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__Phaeosphaeria_phoenicicola
AJ550886.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Leptosphaeriaceae,g__Plenodomus,s__Plenodomus_lingam
JX424446.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_graminis
JF907804.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clitocybaceae,g__Collybia,s__Collybia_dealbata
MH730817.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_chrysosplenii
KP282683.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Agaricaceae,g__Agaricus,s__Agaricus_collegarum
MK508900.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Agaricaceae,g__Lepiota,s__Lepiota_recondita
KY929153.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Neocamarosporium,s__Neocamarosporium_chersinae
MG386046.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Typhulaceae,g__Tygervalleyomyces,s__Tygervalleyomyces_podocarpi
MN906146.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_fraxinicola
AB104524.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Erysiphe,s__Erysiphe_urticae
AF361305.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clitocybaceae,g__Collybia,s__Collybia_cookei
MK100905.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_rielii
EU402590.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__unidentified,g__Pycnoporellus,s__Pycnoporellus_alboluteus
L54099.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Suillaceae,g__Suillus,s__Suillus_laricinus
KC430813.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_komarovii
KU145622.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Clavicipitaceae,g__Claviceps,s__Claviceps_purpurea
MT055915.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Phaeoclavulina,s__Phaeoclavulina_coniferarum
KF251408.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Septoria,s__Septoria_ekmaniana
KJ869139.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Dictyosporiaceae,g__Dendryphiella,s__Dendryphiella_eucalyptorum
